code,name,limit_up_date,industry,lianban,trend_score,trend_locked,activity_score,activity_locked,capital_score,capital_locked,total_locked,signal,avg_amplitude
002645,华宏科技,20260814,环保设备,1,100,True,60,True,30,False,2,买入,4.71
603950,长源东谷,20260831,汽车零部,1,75,True,80,True,25,False,2,买入,9.09
001696,宗申动力,20260812,通用设备,1,65,True,60,True,100,True,3,强烈买入,4.84
002852,道道全,20260827,农产品加,1,75,True,70,True,30,False,2,买入,4.6
002178,延华智能,20260812,软件开发,1,75,True,35,False,15,False,1,谨慎买入,3.49
002582,好想你,20260812,休闲食品,1,85,True,50,True,85,True,3,强烈买入,3.18
600234,科新发展,20260812,装修装饰,1,100,True,80,True,0,False,2,买入,6.26
603090,宏盛股份,20260831,通用设备,1,30,False,65,True,15,False,1,谨慎买入,5.92
601177,杭齿前进,20260821,通用设备,1,30,False,35,False,40,True,1,谨慎买入,3.12
001330,博纳影业,20260901,影视院线,2,80,True,80,True,60,True,3,强烈买入,6.05
002631,德尔未来,20260828,家居用品,1,100,True,80,True,0,False,2,买入,8.93
605188,国光连锁,20260901,一般零售,1,80,True,100,True,70,True,3,强烈买入,5.76
600103,青山纸业,20260901,造纸,1,100,True,100,True,70,True,3,强烈买入,9.53
603887,城地香江,20260813,IT服务Ⅱ,3,100,True,65,True,30,False,2,买入,4.46
002980,华盛昌,20260827,电网设备,1,45,False,65,True,0,False,1,谨慎买入,9.1
002041,登海种业,20260901,种植业,1,100,True,100,True,5,False,2,买入,8.36
600824,益民集团,20260817,一般零售,1,85,True,35,False,40,True,2,买入,2.62
002955,鸿合科技,20260901,光学光电,1,45,False,80,True,15,False,1,谨慎买入,5.19
002578,闽发铝业,20260828,工业金属,1,100,True,50,True,15,False,2,买入,4.27
002918,蒙娜丽莎,20260828,家居用品,1,85,True,50,True,40,True,3,强烈买入,3.98
603890,春秋电子,20260813,消费电子,1,50,False,35,False,0,False,0,观望,4.62
600403,大有能源,20260824,煤炭开采,1,100,True,80,True,75,True,3,强烈买入,8.16
688167,炬光科技,20260812,半导体,1,50,False,65,True,10,False,1,谨慎买入,8.81
001366,播恩集团,20260818,饲料,1,85,True,20,False,0,False,1,谨慎买入,2.93
003021,兆威机电,20260825,电机Ⅱ,1,0,False,60,True,0,False,1,谨慎买入,6.05
000592,平潭发展,20260827,林业Ⅱ,1,30,False,50,True,40,True,2,买入,4.68
002156,通富微电,20260817,半导体,1,40,False,35,False,0,False,0,观望,3.92
601886,江河集团,20260813,装修装饰,2,100,True,100,True,70,True,3,强烈买入,5.94
002721,金一文化,20260901,饰品,1,65,True,80,True,30,False,2,买入,6.63
605118,力鼎光电,20260831,计算机设,1,55,True,50,True,100,True,3,强烈买入,4.09
600604,市北高新,20260826,房地产开,1,45,False,65,True,25,False,1,谨慎买入,4.92
600354,敦煌种业,20260901,种植业,1,100,True,90,True,40,True,3,强烈买入,8.16
601579,会稽山,20260813,非白酒,1,85,True,50,True,70,True,3,强烈买入,4.8
600251,冠农股份,20260828,农产品加,1,85,True,45,False,25,False,1,谨慎买入,3.46
600892,大晟文化,20260901,游戏Ⅱ,2,80,True,65,True,45,True,3,强烈买入,5.87
002328,新朋股份,20260831,汽车零部,1,100,True,50,True,70,True,3,强烈买入,4.65
600929,雪天盐业,20260828,化学原料,1,65,True,35,False,10,False,1,谨慎买入,3.45
600838,上海九百,20260825,一般零售,1,30,False,20,False,15,False,0,观望,2.99
688790,昂瑞微-UW,20260827,半导体,1,30,False,35,False,25,False,0,观望,3.16
000912,泸天化,20260828,农化制品,1,100,True,55,True,40,True,3,强烈买入,4.23
001258,立新能源,20260826,电力,1,10,False,50,True,5,False,1,谨慎买入,8.55
600378,昊华科技,20260828,化学制品,2,70,True,80,True,0,False,2,买入,6.84
603032,德新科技,20260824,电池,1,30,False,35,False,10,False,0,观望,4.07
000710,贝瑞基因,20260821,医疗服务,2,45,False,65,True,15,False,1,谨慎买入,4.53
603261,立航科技,20260827,航空装备,1,70,True,65,True,100,True,3,强烈买入,4.92
688635,长进光子,20260812,通信设备,1,65,True,90,True,55,True,3,强烈买入,8.51
600737,中粮糖业,20260818,农产品加,1,45,False,50,True,55,True,2,买入,4.58
600110,诺德股份,20260831,电池,1,85,True,75,True,45,True,3,强烈买入,7.11
600610,中毅达,20260824,化学原料,1,100,True,100,True,70,True,3,强烈买入,8.93
000692,惠天热电,20260813,电力,2,100,True,100,True,45,True,3,强烈买入,7.0
601366,利群股份,20260817,一般零售,1,85,True,20,False,45,True,2,买入,2.92
600722,金牛化工,20260831,化学原料,2,100,True,80,True,5,False,2,买入,10.4
002031,巨轮智能,20260812,专用设备,2,100,True,90,True,55,True,3,强烈买入,6.08
600792,云煤能源,20260901,焦炭Ⅱ,1,100,True,35,False,0,False,1,谨慎买入,3.69
002017,东信和平,20260824,通信设备,2,70,True,50,True,100,True,3,强烈买入,4.77
000029,深深房Ａ,20260817,房地产开,1,85,True,50,True,0,False,2,买入,3.92
002104,恒宝股份,20260901,通信设备,1,75,True,75,True,15,False,2,买入,5.33
002212,天融信,20260828,软件开发,1,30,False,50,True,40,True,2,买入,3.11
600206,有研新材,20260817,半导体,1,100,True,80,True,30,False,2,买入,6.41
002094,青岛金王,20260826,家居用品,2,60,True,65,True,100,True,3,强烈买入,4.35
002169,智光电气,20260831,电网设备,1,20,False,20,False,0,False,0,观望,2.71
003040,楚天龙,20260901,通信设备,1,100,True,100,True,40,True,3,强烈买入,10.16
002953,日丰股份,20260827,电网设备,1,70,True,85,True,15,False,2,买入,8.18
002436,兴森科技,20260817,元件,1,85,True,80,True,25,False,2,买入,6.32
001301,尚太科技,20260819,电池,1,65,True,50,True,10,False,2,买入,4.23
300642,透景生命,20260825,医疗器械,1,45,False,65,True,100,True,2,买入,4.55
002947,恒铭达,20260825,消费电子,1,25,False,50,True,0,False,1,谨慎买入,5.87
605060,联德股份,20260817,通用设备,1,85,True,80,True,70,True,3,强烈买入,5.46
601086,国芳集团,20260901,一般零售,3,80,True,65,True,70,True,3,强烈买入,3.65
605179,一鸣食品,20260818,饮料乳品,2,100,True,90,True,25,False,2,买入,10.9
000678,襄阳轴承,20260818,汽车零部,1,100,True,75,True,100,True,3,强烈买入,4.67
600288,大恒科技,20260814,软件开发,1,100,True,50,True,55,True,3,强烈买入,4.28
600800,渤海化学,20260813,炼化及贸,1,85,True,35,False,5,False,1,谨慎买入,3.56
600967,内蒙一机,20260901,地面兵装,1,50,False,20,False,25,False,0,观望,2.34
603929,亚翔集成,20260817,专业工程,1,55,True,35,False,25,False,1,谨慎买入,4.7
601952,苏垦农发,20260818,种植业,1,55,True,50,True,100,True,3,强烈买入,2.81
600828,茂业商业,20260901,一般零售,1,50,False,50,True,0,False,1,谨慎买入,3.92
002915,中欣氟材,20260828,化学制品,1,30,False,20,False,40,True,1,谨慎买入,2.7
002579,中京电子,20260820,元件,1,70,True,50,True,45,True,3,强烈买入,4.54
601155,新城控股,20260812,房地产开,1,30,False,35,False,15,False,0,观望,3.28
002766,索菱股份,20260814,汽车零部,1,40,False,45,False,5,False,0,观望,4.93
688433,华曙高科,20260820,通用设备,1,70,True,60,True,40,True,3,强烈买入,8.12
600459,贵研铂业,20260817,小金属,1,75,True,75,True,5,False,2,买入,5.59
603626,科森科技,20260821,消费电子,2,85,True,80,True,15,False,2,买入,6.34
600594,益佰制药,20260824,中药Ⅱ,1,30,False,50,True,5,False,1,谨慎买入,5.29
002449,国星光电,20260821,光学光电,1,85,True,20,False,10,False,1,谨慎买入,2.45
300601,康泰生物,20260820,生物制品,1,30,False,35,False,0,False,0,观望,3.55
603115,海星股份,20260814,元件,1,75,True,65,True,55,True,3,强烈买入,7.05
002038,双鹭药业,20260821,化学制药,2,100,True,65,True,0,False,2,买入,3.38
600095,湘财股份,20260827,证券Ⅱ,2,80,True,65,True,70,True,3,强烈买入,3.4
603903,中持股份,20260813,环境治理,1,80,True,80,True,30,False,2,买入,5.3
002399,海普瑞,20260820,化学制药,1,75,True,35,False,0,False,1,谨慎买入,3.34
601700,风范股份,20260828,电网设备,1,85,True,90,True,45,True,3,强烈买入,11.34
301602,超研股份,20260812,医疗器械,1,75,True,20,False,55,True,2,买入,2.71
603016,新宏泰,20260828,电网设备,1,25,False,55,True,5,False,1,谨慎买入,4.09
000603,盛达资源,20260821,贵金属,1,55,True,50,True,70,True,3,强烈买入,4.74
300333,兆日科技,20260813,计算机设,2,80,True,75,True,70,True,3,强烈买入,7.49
300710,万隆光电,20260820,通信设备,1,25,False,35,False,5,False,0,观望,3.9
603089,正裕工业,20260824,汽车零部,1,75,True,85,True,70,True,3,强烈买入,4.06
603200,上海洗霸,20260826,环境治理,1,45,False,80,True,40,True,2,买入,6.64
605080,浙江自然,20260820,文娱用品,1,45,False,20,False,45,True,1,谨慎买入,2.57
002921,联诚精密,20260831,汽车零部,1,5,False,35,False,25,False,0,观望,3.8
301231,荣信文化,20260831,出版,1,20,False,35,False,0,False,0,观望,4.77
002219,新里程,20260813,医疗服务,1,100,True,50,True,100,True,3,强烈买入,3.82
600721,百花医药,20260827,医疗服务,1,100,True,90,True,25,False,2,买入,9.61
600468,百利电气,20260826,电网设备,1,20,False,35,False,25,False,0,观望,3.03
601330,绿色动力,20260831,环境治理,1,50,False,10,False,30,False,0,观望,1.22
300413,芒果超媒,20260901,数字媒体,2,60,True,65,True,100,True,3,强烈买入,3.54
603269,海鸥股份,20260831,通用设备,3,100,True,80,True,5,False,2,买入,6.59
603916,苏博特,20260817,水泥,1,75,True,35,False,15,False,1,谨慎买入,4.78
000590,古汉医药,20260820,中药Ⅱ,1,75,True,20,False,40,True,2,买入,2.94
300314,戴维医疗,20260817,医疗器械,1,100,True,85,True,70,True,3,强烈买入,7.58
603065,宿迁联盛,20260821,化学制品,1,45,False,80,True,100,True,2,买入,7.67
000737,北方铜业,20260817,工业金属,1,40,False,35,False,0,False,0,观望,3.14
603237,五芳斋,20260827,食品加工,1,45,False,20,False,0,False,0,观望,2.24
603236,移远通信,20260831,通信设备,1,45,False,50,True,40,True,2,买入,3.64
002172,澳洋健康,20260901,医疗服务,1,75,True,85,True,0,False,2,买入,7.78
600121,郑州煤电,20260901,煤炭开采,2,100,True,65,True,25,False,2,买入,6.82
605300,佳禾食品,20260901,饮料乳品,1,50,False,35,False,40,True,1,谨慎买入,3.02
002769,普路通,20260901,物流,1,85,True,20,False,15,False,1,谨慎买入,2.45
603082,北自科技,20260828,自动化设,1,85,True,65,True,70,True,3,强烈买入,7.22
000951,中国重汽,20260827,商用车,1,5,False,35,False,25,False,0,观望,4.52
002329,皇氏集团,20260813,饮料乳品,4,100,True,90,True,70,True,3,强烈买入,7.2
002107,沃华医药,20260901,中药Ⅱ,1,100,True,85,True,70,True,3,强烈买入,6.37
603980,吉华集团,20260901,化学制品,1,80,True,60,True,70,True,3,强烈买入,4.98
600266,城建发展,20260812,房地产开,1,55,True,60,True,100,True,3,强烈买入,3.18
300679,电连技术,20260817,消费电子,1,85,True,65,True,25,False,2,买入,5.51
000798,中水渔业,20260828,渔业,1,100,True,60,True,25,False,2,买入,4.1
601038,一拖股份,20260826,专用设备,1,20,False,20,False,5,False,0,观望,2.81
300313,天山生物,20260824,养殖业,1,100,True,100,True,85,True,3,强烈买入,14.16
300598,诚迈科技,20260818,软件开发,1,45,False,20,False,25,False,0,观望,2.74
601877,正泰电器,20260820,电网设备,1,15,False,20,False,25,False,0,观望,2.24
002164,宁波东力,20260812,通用设备,1,100,True,45,False,25,False,1,谨慎买入,3.21
001376,百通能源,20260828,电力,1,15,False,20,False,15,False,0,观望,2.2
000526,学大教育,20260819,教育,2,45,False,65,True,10,False,1,谨慎买入,4.12
003010,若羽臣,20260820,互联网电,1,25,False,35,False,5,False,0,观望,3.81
600691,潞化科技,20260831,农化制品,2,100,True,90,True,100,True,3,强烈买入,5.19
002900,哈三联,20260819,化学制药,1,75,True,80,True,30,False,2,买入,7.73
603565,中谷物流,20260824,航运港口,1,100,True,75,True,70,True,3,强烈买入,4.83
603848,好太太,20260819,家居用品,1,75,True,60,True,75,True,3,强烈买入,3.47
002098,浔兴股份,20260831,纺织制造,1,85,True,20,False,10,False,1,谨慎买入,2.58
000019,深粮控股,20260901,农产品加,1,100,True,75,True,25,False,2,买入,5.73
603221,爱丽家居,20260901,家居用品,1,55,True,80,True,40,True,3,强烈买入,7.4
600577,精达股份,20260821,电网设备,1,30,False,50,True,100,True,2,买入,4.75
002134,天津普林,20260827,元件,1,30,False,35,False,10,False,0,观望,4.65
000048,京基智农,20260812,养殖业,1,100,True,80,True,35,False,2,买入,5.43
603979,金诚信,20260826,工业金属,1,20,False,35,False,0,False,0,观望,4.6
002713,东易日盛,20260825,装修装饰,1,10,False,35,False,0,False,0,观望,4.6
002045,国光电器,20260821,消费电子,1,30,False,50,True,45,True,2,买入,3.46
603313,梦百合,20260831,家居用品,1,55,True,20,False,30,False,1,谨慎买入,2.86
603105,芯能科技,20260824,电力,1,20,False,20,False,25,False,0,观望,2.3
000659,珠海中富,20260825,包装印刷,1,10,False,35,False,0,False,0,观望,4.33
600830,香溢融通,20260901,多元金融,1,85,True,30,False,0,False,1,谨慎买入,2.04
001360,南矿集团,20260820,专用设备,1,75,True,80,True,15,False,2,买入,7.87
002066,瑞泰科技,20260813,装修建材,1,60,True,20,False,25,False,1,谨慎买入,2.37
002855,捷荣技术,20260901,消费电子,6,100,True,85,True,70,True,3,强烈买入,3.92
002181,粤 传 媒,20260901,出版,1,65,True,50,True,100,True,3,强烈买入,3.54
002412,汉森制药,20260825,中药Ⅱ,5,100,True,65,True,0,False,2,买入,4.82
603580,艾艾精工,20260827,塑料,1,100,True,80,True,35,False,2,买入,10.38
603801,志邦家居,20260820,家居用品,2,100,True,65,True,100,True,3,强烈买入,3.19
000720,新能泰山,20260812,电网设备,1,85,True,90,True,30,False,2,买入,5.26
688677,海泰新光,20260817,医疗器械,1,75,True,75,True,40,True,3,强烈买入,10.54
001221,悍高集团,20260831,家居用品,1,0,False,35,False,25,False,0,观望,3.23
002906,华阳集团,20260824,汽车零部,1,75,True,35,False,40,True,2,买入,3.12
000065,北方国际,20260824,专业工程,1,30,False,20,False,25,False,0,观望,2.85
300404,博济医药,20260814,医疗服务,2,100,True,100,True,40,True,3,强烈买入,12.13
605277,新亚电子,20260826,消费电子,1,55,True,50,True,70,True,3,强烈买入,3.8
600613,神奇制药,20260827,化学制药,1,100,True,100,True,30,False,2,买入,9.34
002486,嘉麟杰,20260828,服装家纺,1,85,True,65,True,45,True,3,强烈买入,3.39
002421,达实智能,20260812,IT服务Ⅱ,1,85,True,70,True,0,False,2,买入,6.1
000153,丰原药业,20260818,化学制药,1,85,True,45,False,40,True,2,买入,3.92
002940,昂利康,20260820,化学制药,1,75,True,35,False,15,False,1,谨慎买入,3.89
603893,瑞芯微,20260831,半导体,1,5,False,35,False,30,False,0,观望,3.07
600602,云赛智联,20260812,软件开发,1,55,True,35,False,5,False,1,谨慎买入,3.46
000796,凯撒旅业,20260825,旅游及景,1,30,False,50,True,30,False,1,谨慎买入,3.35
603079,圣达生物,20260825,化学制品,1,70,True,100,True,40,True,3,强烈买入,9.5
600353,旭光电子,20260821,其他电子,1,100,True,90,True,40,True,3,强烈买入,8.77
603029,天鹅股份,20260828,专用设备,1,85,True,35,False,70,True,2,买入,3.74
605180,华生科技,20260817,纺织制造,1,85,True,50,True,40,True,3,强烈买入,3.02
605303,园林股份,20260825,基础建设,1,40,False,35,False,15,False,0,观望,4.24
000017,深中华A,20260828,饰品,7,100,True,100,True,70,True,3,强烈买入,5.61
000965,天保基建,20260831,房地产开,1,85,True,35,False,5,False,1,谨慎买入,2.89
603912,佳力图,20260825,通用设备,1,45,False,80,True,30,False,1,谨慎买入,6.3
002909,集泰股份,20260901,化学制品,2,100,True,85,True,70,True,3,强烈买入,5.82
000670,盈方微,20260817,其他电子,1,85,True,65,True,55,True,3,强烈买入,3.82
000567,海德股份,20260828,多元金融,1,60,True,50,True,70,True,3,强烈买入,3.62
001232,嘉立创,20260827,元件,1,45,False,65,True,55,True,2,买入,5.28
600227,赤天化,20260831,农化制品,2,100,True,90,True,45,True,3,强烈买入,9.54
600186,莲花控股,20260814,调味发酵,1,100,True,90,True,30,False,2,买入,9.16
301218,华是科技,20260831,IT服务Ⅱ,1,100,True,90,True,55,True,3,强烈买入,12.71
301262,海看股份,20260831,广告营销,1,30,False,35,False,5,False,0,观望,2.56
603277,银都股份,20260812,通用设备,1,45,False,20,False,40,True,1,谨慎买入,2.97
002636,金安国纪,20260827,元件,1,55,True,65,True,40,True,3,强烈买入,8.44
000635,英 力 特,20260901,化学原料,1,65,True,20,False,15,False,1,谨慎买入,2.92
002573,清新环境,20260812,环境治理,1,75,True,10,False,55,True,2,买入,1.98
603286,日盈电子,20260817,汽车零部,1,85,True,50,True,0,False,2,买入,5.17
300684,中石科技,20260818,电子化学,3,100,True,65,True,40,True,3,强烈买入,4.52
603406,天富龙,20260818,化学纤维,1,30,False,20,False,10,False,0,观望,2.18
603058,永吉股份,20260831,包装印刷,1,30,False,50,True,0,False,1,谨慎买入,3.95
603137,恒尚节能,20260827,装修装饰,1,0,False,50,True,10,False,1,谨慎买入,6.4
603318,水发燃气,20260825,燃气Ⅱ,1,85,True,90,True,30,False,2,买入,7.45
603881,数据港,20260814,通信服务,1,85,True,60,True,75,True,3,强烈买入,4.9
600362,江西铜业,20260826,工业金属,1,25,False,35,False,15,False,0,观望,4.03
603228,景旺电子,20260812,元件,1,100,True,80,True,45,True,3,强烈买入,7.91
002942,新农股份,20260828,农化制品,3,100,True,75,True,100,True,3,强烈买入,3.58
603703,盛洋科技,20260817,光学光电,1,100,True,50,True,100,True,3,强烈买入,3.94
001338,永顺泰,20260819,农产品加,1,45,False,20,False,70,True,1,谨慎买入,2.22
688265,南模生物,20260813,医疗服务,1,100,True,100,True,100,True,3,强烈买入,11.04
002792,通宇通讯,20260812,通信设备,1,100,True,100,True,70,True,3,强烈买入,6.03
002047,宝鹰股份,20260826,装修装饰,1,30,False,50,True,5,False,1,谨慎买入,5.8
601015,陕西黑猫,20260819,焦炭Ⅱ,1,45,False,20,False,15,False,0,观望,2.64
603123,翠微股份,20260901,多元金融,1,75,True,35,False,0,False,1,谨慎买入,4.25
688185,康希诺,20260826,生物制品,1,100,True,100,True,100,True,3,强烈买入,6.85
600689,上海三毛,20260828,综合Ⅱ,1,85,True,50,True,0,False,2,买入,3.04
603897,长城科技,20260812,电网设备,2,100,True,65,True,100,True,3,强烈买入,4.83
000950,重药控股,20260814,医药商业,1,100,True,45,False,25,False,1,谨慎买入,3.62
002881,美格智能,20260831,通信设备,1,100,True,90,True,70,True,3,强烈买入,5.24
000006,深振业Ａ,20260813,房地产开,1,85,True,50,True,40,True,3,强烈买入,3.33
001318,阳光乳业,20260817,饮料乳品,1,85,True,50,True,15,False,2,买入,4.05
300097,智云股份,20260825,自动化设,1,55,True,100,True,30,False,2,买入,11.65
